"variable","list_price","discount_pct","promo_flag","units_sold","net_sales","gross_sales","margin_pct"
"list_price","1.00","-0.04","-0.05","-0.08","0.58","0.56","0.02"
"discount_pct","-0.04","1.00","0.93","0.29","0.08","0.17","-0.54"
"promo_flag","-0.05","0.93","1.00","0.30","0.09","0.17","-0.49"
"units_sold","-0.08","0.29","0.30","1.00","0.63","0.65","-0.16"
"net_sales","0.58","0.08","0.09","0.63","1.00","0.99","-0.04"
"gross_sales","0.56","0.17","0.17","0.65","0.99","1.00","-0.09"
"margin_pct","0.02","-0.54","-0.49","-0.16","-0.04","-0.09","1.00"
